online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost
No,No,3.7,0.0,JP Nagar,Dessert Parlor,Ice Cream,200.0
No,No,3.6,16.0,Mysore Road,Quick Bites,South Indian,300.0
No,No,3.7,217.0,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",450.0
No,No,3.6,46.0,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",450.0
No,No,3.8,148.0,Basavanagudi,Quick Bites,"Fast Food, Street Food",150.0
No,No,3.4,30.0,Basavanagudi,Dessert Parlor,Desserts,250.0
No,No,3.6,8.0,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800.0
No,No,3.3,4.0,Jayanagar,Quick Bites,South Indian,250.0
No,No,3.5,15.0,Basavanagudi,"Bakery, Quick Bites",Bakery,400.0
No,No,3.7,0.0,Basavanagudi,Quick Bites,South Indian,100.0
No,No,3.7,0.0,Uttarahalli,Quick Bites,"North Indian, Chinese",300.0
No,No,3.7,0.0,Jayanagar,Quick Bites,"North Indian, South Indian, Chinese, Beverages, Fast Food",200.0
Yes,No,3.4,9.0,Uttarahalli,Quick Bites,Street Food,200.0
No,No,3.7,0.0,Vijay Nagar,Quick Bites,"North Indian, Chinese, Biryani",350.0
Yes,No,3.7,31.0,Mysore Road,Quick Bites,"South Indian, North Indian",300.0
Yes,No,2.9000000000000004,177.0,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700.0
Yes,No,3.7,22.0,Basavanagudi,Sweet Shop,"Mithai, Desserts",250.0
Yes,No,3.5,10.0,Kumaraswamy Layout,Beverage Shop,"Juices, Beverages",100.0
Yes,No,3.7,136.0,Banashankari,Quick Bites,"Salad, Fast Food",600.0
Yes,No,2.9000000000000004,35.0,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250.0
Yes,No,4.1,185.0,Jayanagar,Quick Bites,"Juices, Desserts",200.0
Yes,No,3.2,17.0,Jayanagar,Cafe,"Cafe, Fast Food",900.0
Yes,No,3.8,155.0,Mysore Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400.0
Yes,No,3.8,42.0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",300.0
Yes,No,3.8,286.0,Basavanagudi,Casual Dining,North Indian,600.0
Yes,No,3.8,160.0,Banashankari,Casual Dining,"North Indian, Chinese",700.0
Yes,No,3.8,59.0,Banashankari,Casual Dining,"North Indian, Chinese",750.0
Yes,No,3.5,90.0,Jayanagar,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",500.0
Yes,No,3.7,51.0,Kumaraswamy Layout,Quick Bites,"South Indian, Mangalorean",350.0
Yes,No,4.0,89.0,Jayanagar,Quick Bites,"South Indian, Beverages",200.0
Yes,No,3.6,18.0,Banashankari,Quick Bites,"Fast Food, Rolls",250.0
Yes,No,3.9,40.0,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",600.0
Yes,No,2.9000000000000004,35.0,Basavanagudi,Quick Bites,Fast Food,200.0
